scenario,peak_unemployment,pd_logit_shift,mean_pd,expected_loss,expected_profit,realized_profit_2015,loss_rate
Baseline,4.3,0.0,0.11522972561101806,113035323.92636165,61884376.28294136,11755127.295690503,0.05706096292887384
Mild recession,6.3,0.1954108434138031,0.13583930089339033,133321028.25128546,40565033.11692934,,0.06730131773357768
Severe recession,10.0,0.6005904927442924,0.18792215310772203,184688717.4501105,-13252734.719543511,,0.09323205962294995
