strategy,approval_rate,loans,bad_rate,funded,profit,return_on_funded
Approve everything,1.0,282787,0.14883640337073487,3620635675.0,-25900207.630949393,-0.007153497329153227
LC grades A-C only,0.8454879467585144,239093,0.12439510985265148,3081380550.0,-7435064.217886501,-0.002412900353345354
"Model, same volume as A-C",0.8454879467585144,239093,0.12081909549840439,3087287225.0,5117714.104631833,0.0016576734627053798
"Model, expected profit > 0",0.5502197767224094,155595,0.14449693113531925,1980957175.0,11755127.295690503,0.0059340643220570895
