approval_rate,pd_cutoff,loans,bad_rate,funded,profit,return_on_funded
0.05,0.03255551,14139,0.021005728835136857,219073525.0,1042351.3832200565,0.004757997951692504
0.1,0.04518108,28279,0.030163725732875984,431863275.0,3002399.4823301947,0.006952199124433988
0.15,0.055402175,42418,0.03781413550851054,637165525.0,5029157.242696906,0.00789301530822294
0.2,0.06474864,56557,0.04476899411213466,834813800.0,7060723.1913984995,0.008457841965955162
0.25,0.07344608,70697,0.050567916601836,1026516600.0,9263844.1850493,0.009024543962610345
0.3,0.082146525,84836,0.056013956339289926,1212459925.0,11279433.256747482,0.009302932842706106
0.35,0.09093059,98975,0.06112654710785552,1395183950.0,13501589.8939557,0.009677282980466984
0.4,0.09994369,113115,0.06653405825929364,1575345600.0,14960730.545852676,0.009496792669400718
0.45,0.109216556,127254,0.07215490279283952,1751731925.0,16421891.690203464,0.009374660275260705
0.5,0.11901006,141394,0.07814334413058546,1925054275.0,16860068.04310531,0.008758229968921429
0.55,0.12937175,155533,0.08395645940089884,2097579825.0,17474852.11255228,0.008330959281872517
0.6,0.1405288,169672,0.08990287142250931,2267263225.0,17233551.992210306,0.007601037145658421
0.65,0.15287569,183812,0.09617979239657912,2436429850.0,15974214.943666197,0.006556402575541503
0.7,0.16653022,197951,0.10230309521043086,2604345800.0,14157934.156528281,0.005436272770124567
0.75,0.18254414,212090,0.10814276957895233,2770614025.0,11999961.970270608,0.004331156148778467
0.8,0.20113364,226230,0.1146311276134907,2936063375.0,9002954.240942437,0.0030663351198754137
0.85,0.22406945,240369,0.12140084619896908,3102035575.0,4731445.278998883,0.0015252711210440853
0.9,0.25481334,254508,0.12909613843179782,3268097625.0,-811592.5745235234,-0.0002483379224399771
0.95,0.30409464,268648,0.13731723295911377,3437887350.0,-9058830.218797844,-0.0026349991423651052
1.0,0.7666212,282787,0.14883640337073487,3620635675.0,-25900207.630949393,-0.007153497329153227
